organization,linkedin,position,startDate,endDate,status,person_id
Integrata AG,,Software Engineer,1983-03,1995-12,INACTIVE,184
BMG LABTECH,https://www.linkedin.com/company/bmg-labtech,Application Specialist,2021-01,,ACTIVE,185
Rheinische Friedrich-Wilhelms-Universität Bonn,,Doctoral candidate in pharmaceutical chemistry,2015,2021-01,INACTIVE,185
Olíudreifing,,porject manager,,,UNKNOWN,186
"Alcon Laboratories, Inc.",https://www.linkedin.com/company/alcon,"Head Public and Governmental Affairs, Pricing and Reimbursement",,,UNKNOWN,187
International Campaign for Tibet,https://www.linkedin.com/company/international-campaign-for-tibet,Executive Director / Head of UN Advocacy,2005-11,,ACTIVE,188
German federal parliament,,Research Associate,2003-11,2005-10,INACTIVE,188
amnesty international,https://www.linkedin.com/company/amnesty-international,Member of the National Board,2003,2005,INACTIVE,188
Alstom,https://www.linkedin.com/company/alstom,Project V&V Manager,2024-05,,ACTIVE,189
Alstom,https://www.linkedin.com/company/alstom,Validation and Test Engineer,2022-08,2024-05,INACTIVE,189
Alstom,https://www.linkedin.com/company/alstom,ERTMS T&C Leader,2021-04,2022-08,INACTIVE,189
Alstom,https://www.linkedin.com/company/alstom,ERTMS T&C Engineer,2019-04,2021-04,INACTIVE,189
İGA İstanbul Airport,https://www.linkedin.com/company/igairport,Quality Control Engineer,2016-01,2019-02,INACTIVE,189
Thales,https://www.linkedin.com/company/thales,Maintenance Engineer,2013-08,2016-01,INACTIVE,189
Hausfeld,https://www.linkedin.com/company/hausfeld,Rechtsanwalt | Counsel,2022-03,,ACTIVE,190
CALVOR,https://www.linkedin.com/company/calvor,Head of Dispute Resolution | Rechtsanwalt,2021-10,2022-02,INACTIVE,190
consignum. Rechtsanwälte für Insolvenzrecht,https://www.linkedin.com/company/consignum-rechtsanwälte-für-insolvenzrecht,Rechtsanwalt | Assoziierter Partner,2021-01,2021-09,INACTIVE,190
FORIS AG,https://www.linkedin.com/company/foris-ag,Managing Director - Dispute Resolution | Rechtsanwalt,2019-04,2020-12,INACTIVE,190
DLA Piper,https://www.linkedin.com/company/dla-piper,Rechtsanwalt | Counsel,2018-09,2019-02,INACTIVE,190
GÖRG,https://www.linkedin.com/company/goerg,Rechtsanwalt | Assoziierter Partner,2011-09,2018-08,INACTIVE,190
Ganteführer,https://www.linkedin.com/company/gantefuehrer,Rechtsanwalt,2011-03,2011-08,INACTIVE,190
GÖRG,https://www.linkedin.com/company/goerg,Rechtsanwalt,2010-05,2011-02,INACTIVE,190
Jura Intensiv Repetitorium GmbH & Co. KG,,Repetitor (Zivilrecht),2007-08,2010-04,INACTIVE,190
Parkdale Queen West Community Health Centre,https://www.linkedin.com/company/parkdale-queen-west-community-health-centre,Indigenous Counsellor & Case Manager - Niiwin Wendaanimak,2020-09,,ACTIVE,191
Freelancer- Self employed,https://www.linkedin.com/company/freelanceers,Art Therapist and Registered Psychotherapist,2018-04,2020-09,INACTIVE,191
Toronto District School Board,https://www.linkedin.com/company/toronto-district-school-board,Newcomer Program Facilitator - Indigenous Arts,2018-01,2020-06,INACTIVE,191
Toronto Art Therapy Institute,,Student Art Therapist,2015-09,2018-04,INACTIVE,191
4Cats,https://www.linkedin.com/company/4cats-arts-studio,Arts Instructor,2014-01,2015-09,INACTIVE,191
Köster GmbH,https://www.linkedin.com/company/k-ster-gmbh,Bauleiter,2022-01,,ACTIVE,192
Centro diagnostico Pasteur,,Amministrazione,2012-07,,ACTIVE,193
Assicurazioni Generali,,Ispettore di primo livello,2012-03,2012-06,INACTIVE,193
NewEn s.r.l,https://www.linkedin.com/company/newen-s.r.l,Marketing Junior Consultant,2011-01,2011-12,INACTIVE,193
Graphic Packaging International - Europe,https://www.linkedin.com/company/graphic-packaging-international-emea-apac,Head of Customer Sales Service & Sales Controlling,2024-04,,ACTIVE,194
Graphic Packaging International - Europe,https://www.linkedin.com/company/graphic-packaging-international-emea-apac,Customer Service Sales Representative,2022-07,2024-11,INACTIVE,194
AR Packaging,https://www.linkedin.com/company/ar-packaging,Customer Service Sales Representative,2020-04,2022-07,INACTIVE,194
A&R Carton,https://www.linkedin.com/company/a&r-carton,Customer Service Sales Representative,2008-08,2020-04,INACTIVE,194
rst,https://www.linkedin.com/company/rst,gerant,,,UNKNOWN,195
ERCO,https://www.linkedin.com/company/erco,Engineering Manager,2016-07,,ACTIVE,196
OSRAM SYLVANIA,,R&D Manager,2013-01,2016-06,INACTIVE,196
OSRAM SYLVANIA,,Engineering Manager,2007-11,2012-12,INACTIVE,196
OSRAM,https://www.linkedin.com/company/osram,"Development Engineer, later: Team Lead",2002-07,2007-10,INACTIVE,196
Research Center Juelich,https://www.linkedin.com/company/forschungszentrum-julich,Scientific Associate (Diploma Thesis),2000-12,2002-01,INACTIVE,196
Nds. Ministerium für Wissenschaft und Kultur,,Referatsleiter,,,UNKNOWN,197
No Company,https://www.linkedin.com/company/labmobil,Retired but still active and interested in Optics Development and Metrology,2020-01,,ACTIVE,198
Berliner Glas KGaA Herbert Kubatz GmbH & Co.,,Manager Interferometry and Software Development,2019-07,2019-12,INACTIVE,198
Berliner Glas KGaA Herbert Kubatz GmbH & Co.,,"Manager Metrology, Software Development, Electronic Development and Optical Design",2015-09,2019-06,INACTIVE,198
Berliner Glas KGaA Herbert Kubatz GmbH & Co.,,Manager Metrology and Software Development,2013-02,2015-09,INACTIVE,198
Berliner Glas KGaA Herbert Kubatz GmbH & Co.,,General Manager Business Unit Industrial Solutions,2009-06,2013-08,INACTIVE,198
Berliner Glas KGaA Herbert Kubatz GmbH & Co.,,Manager Product Development Systems,2006-05,2009-05,INACTIVE,198
*Acritec Society for Ophthalmic Implants,,Managing Director,2004,2006,INACTIVE,198
"Spindler & Hoyer, später LINOS",,Head of Business Division Industrial Manufacturing,1989,2004,INACTIVE,198
Jos. Schneider Optische Werke GmbH Bad Kreuznach,https://www.linkedin.com/company/schneiderkreuznach,Head of Mathematics Office (Mathematisches Büro) (Optical Design Department),1986-02,1989-10,INACTIVE,198
Microsoft,https://www.linkedin.com/company/microsoft,Sales Consultant - Business Application,2021-03,,ACTIVE,199
MODUS Consult GmbH,https://www.linkedin.com/company/modus-consult,Presales Consultant,2019-06,2021-02,INACTIVE,199
MODUS Consult GmbH,https://www.linkedin.com/company/modus-consult,Project Consultant,2017-05,2019-05,INACTIVE,199
MODUS Consult GmbH,https://www.linkedin.com/company/modus-consult,Junior Consultant,2015-11,2017-04,INACTIVE,199
MODUS Consult GmbH,https://www.linkedin.com/company/modus-consult,Working Student,2012-10,2015-10,INACTIVE,199
Medtronic,https://www.linkedin.com/company/medtronic,Senior Technical Consultant,2024-07,,ACTIVE,200
Medtronic,https://www.linkedin.com/company/medtronic,Technical Consultant,2018-09,2024-06,INACTIVE,200
Timken GmbH,,Sales Engineer,2017-01,2018-06,INACTIVE,200
Timken GmbH,,Application Engineer,2015-05,2017-06,INACTIVE,200
The Timken Company,https://www.linkedin.com/company/the-timken-company,Application Engineer,2014-10,2015-04,INACTIVE,200
Miltenyi Biotec,https://www.linkedin.com/company/miltenyi-biotec,Research Internship,2013-08,2013-11,INACTIVE,200
Institut für Textiltechnik der RWTH Aachen University,,Scientific Assistant,2012-06,2013-07,INACTIVE,200
Helmholtz-Institut - RWTH Aachen und Universitätsklinikum Aachen,https://www.linkedin.com/company/helmholtz-institut---rwth-aachen-und-universit-tsklinikum-aachen,Scientific Assistant,2010-01,2011-06,INACTIVE,200
Cleveland Clinic Connected Care,,Nurse Practitioner,2023-08,,ACTIVE,201
Aultman Hospital,https://www.linkedin.com/company/aultman-health,Adult Gerontology Nurse Practitioner,2022-09,2023-11,INACTIVE,201
Aultman Hospital,https://www.linkedin.com/company/aultman-health,RN,2017-05,2023-11,INACTIVE,201
Aultman Hospital,https://www.linkedin.com/company/aultman-health,Adult Gerontology Nurse Practitioner,2022-09,2022,INACTIVE,201
AULTMAN SPECIALTY HOSPITAL LLC,https://www.linkedin.com/company/aultman-specialty-hospital-llc,"Staff Nurse, Case Management",2019-11,2023-11,INACTIVE,201
Edwin Shaw Rehabilitation Institute,https://www.linkedin.com/company/edwin-shaw-rehabilitation-institute,RN,2015-11,2017-08,INACTIVE,201
Hanover Health Care Ctr,https://www.linkedin.com/company/hanover-health-care-ctr,RN Unit Manager,2014-05,2015-05,INACTIVE,201
Canton Helath Care Center,,LPN,2009-09,2014-09,INACTIVE,201
Kamps Sperziebonen,https://www.linkedin.com/company/kamps-sperziebonen,Packhouse Managing consultant,2018-09,,ACTIVE,202
africaJUICE B.V.,https://www.linkedin.com/company/africajuice-b.v.,"Re-organization warehouse, plant management and quality control manager",2018-03,2018-08,INACTIVE,202
africaJUICE B.V.,https://www.linkedin.com/company/africajuice-b.v.,Organization Manager,2017-05,2018-02,INACTIVE,202
Organto Foods,https://www.linkedin.com/company/organto-foods-inc,Project Manager packhouse organic vegetable,2017-09,2018-02,INACTIVE,202
Group Machiels,https://www.linkedin.com/company/groupmachiels,Operational managing packhouse vegetable,2015-11,2017-04,INACTIVE,202
Indu Farm Kenya,,Organization Manager packhouse vegetable Kenya,2013-10,2015-07,INACTIVE,202
Van Oers United,,Operational Manager packhouse,2011-08,2013-09,INACTIVE,202
Indu Farm Naivasha,,"Quality Research Manager, Indu Farm",2004-10,2011-07,INACTIVE,202
Kigali roses,,"Quality and packhouse manager, Kigali, Rwanda",2004-03,2004-10,INACTIVE,202
Sande Kenya,,Quality and research manager,2001-07,2004-02,INACTIVE,202
Tarsal bloemen,,Quality manager flowers,1998,2001,INACTIVE,202
Van der schaaf Bloemen,,Co-owner: of three flower shops,1988,1998,INACTIVE,202
21iLAB,https://www.linkedin.com/company/21ilab-official,Verwaltungsrat,2021-06,,ACTIVE,203
Kaiser Partner Financial Advisors Ltd.,https://www.linkedin.com/company/kaiser-partner-financial-advisors-ltd,Chairman of the Board of Directors,2020-02,,ACTIVE,203
Kaiser Partner Privatbank AG,https://www.linkedin.com/company/kaiser-partner-privatbank,CEO,2011-03,,ACTIVE,203
FMA - Financial Market Authority Liechtenstein,https://www.linkedin.com/company/fma---financial-market-authority-liechtenstein,"Deputy CEO, Member of the Executive Board, Head Banking and Securities Supervision",2006,2011-03,INACTIVE,203
Raiffeisen Schweiz,https://www.linkedin.com/company/raiffeisen-switzerland,Head Project Management / Head Management Office,2000,2006,INACTIVE,203
GOLDBECK,https://www.linkedin.com/company/goldbeck,Development Manager,2023-01,,ACTIVE,204
GOLDBECK,https://www.linkedin.com/company/goldbeck,Planungsmanager / Systemplanung,2018-10,2023-01,INACTIVE,204
Metecno Bausysteme GmbH,https://www.linkedin.com/company/metecno-bausysteme-gmbh,Head of Application Technology / Leiter Anwendungstechnik,2016-03,2018-09,INACTIVE,204
Metecno Bausysteme GmbH,https://www.linkedin.com/company/metecno-bausysteme-gmbh,Anwendungstechniker,2005-04,2016-03,INACTIVE,204
Sto SE & Co. KGaA,https://www.linkedin.com/company/sto-ag,Vertriebsspezialist,2016-08,,ACTIVE,205
Freiberuflich,,Rechtsanwalt,2001-12,,ACTIVE,206
"Bruck, Inc",,Business Owner,,,UNKNOWN,207
B&R Industrial Automation,https://www.linkedin.com/company/b&r-industrial-automation,HW-Developer BU Motion,2013-09,,ACTIVE,208
E.G.O. Commercial Electronics AG,,"HW-Entwickler, Layout, Testsysteme",2005-08,2013-08,INACTIVE,208
Alphasem AG,,"Entwickler, Layout",2000-08,2005-08,INACTIVE,208
Atlas Copco Holding GmbH,,Head of Organization Projects and Facility Operations,2025-01,,ACTIVE,209
Atlas Copco,https://www.linkedin.com/company/atlas-copco,General Operations Manager,2000-01,2025-02,INACTIVE,209
Selbständig,,Landwirtschaftsmeister,,,UNKNOWN,210
ERGO Group AG,https://www.linkedin.com/company/ergo-group-ag,Head of Global Life Products,2019-04,,ACTIVE,211
Ergo China Consulting Ltd.,,Head of Performance Management / regional CFO China,2017-09,2019-04,INACTIVE,211
ERGO International AG,https://www.linkedin.com/company/ergo-international-ag,"Interim Regional Manager India, Greece and Turkey",2015-02,2017-08,INACTIVE,211
ERGO INSURANCE (Belgium),https://www.linkedin.com/company/ergo-insurance-nv-sa,Head of IT Benelux,2013-04,2017-08,INACTIVE,211
ERGO International AG,https://www.linkedin.com/company/ergo-international-ag,Implementation Manager Ergo China Life,2011-04,2013-03,INACTIVE,211
ERGO International AG,https://www.linkedin.com/company/ergo-international-ag,Regional Management China (Market Entry & Controlling),2008-01,2011-03,INACTIVE,211
Victoria Lebensversicherung AG,,Consultant for Employee Benefits (Corporate New Business Department),2002-07,2007-12,INACTIVE,211
IDS Scheer,,Consultant for Financial Services / Insurance,2002-01,2002-06,INACTIVE,211
Allianz Life,https://www.linkedin.com/company/allianz-life,Consultant for international Employee Benefits,2000-10,2002-01,INACTIVE,211
Benno Therapeutics,https://www.linkedin.com/company/bennotx,Investor,2024-01,,ACTIVE,212
Cellab - CDMO,https://www.linkedin.com/company/cellabcdmo,Investor,2023-12,,ACTIVE,212
CimCure B.V.,https://www.linkedin.com/company/cimcure-b-v,Investor,2023-01,,ACTIVE,212
Neurocast,https://www.linkedin.com/company/neurocast,Investor,2023-01,,ACTIVE,212
Omnio AB,https://www.linkedin.com/company/omnio-ab,Investor,2022-07,,ACTIVE,212
Reunion Capital,,Founder,2022-04,,ACTIVE,212
Amsterdam UMC,https://www.linkedin.com/company/amsterdamumc,Professor,2008-02,,ACTIVE,212
"GRAIL, Inc.",https://www.linkedin.com/company/grail-inc.,Head of Nucleic Acid Research,2016-01,2016-05,INACTIVE,212
thromboDx,,Chief Scientific Officer,2012-01,2016-01,INACTIVE,212
Harvard Medical School and Massachusetts General Hospital,https://www.linkedin.com/company/harvard-medical-school-massachusetts-general-hospital,Postdoc,2006-02,2008-01,INACTIVE,212
Muldental Elektronik GmbH,,Geschäftsführer,1996-04,,ACTIVE,213
HICO CANADA INC.,,Executive Assistant to the President,2023-08,,ACTIVE,214
GLELCS Inc.,https://www.linkedin.com/company/glelcs-inc-,Founder & President of GLELCS Inc.,2012-04,2016-12,INACTIVE,214
Rheinmetall Canada Inc.,https://www.linkedin.com/company/rheinmetall,Department Head ILS & Product Support,1996-09,2012-03,INACTIVE,214
"Oerlikon Contraves Inc. St. Jean-sur-Richelieu, Canada",,Manager LSA & Technical Publications,1991-12,1996-10,INACTIVE,214
"Oerlikon Aerospace Inc. St.Jean-sur-Richelieu, Canada",,G/L Test Support,1986-01,1991-11,INACTIVE,214
"Oerlikon Buehrle AG, Zuerich / Switzerland",,ILS Subject Matter Expert,1981-09,1985-10,INACTIVE,214
Hochschule für angewandte Wissenschaft und Kunst,,Professor,,,UNKNOWN,215
Freshfields Bruckhaus Deringer,https://www.linkedin.com/company/freshfields,Partner,1994,,ACTIVE,216
Nolis GmbH,,Webentwickler,2015-03,,ACTIVE,217
GreenGaraGe GmbH,,Director Construction & Engineering,2019-03,,ACTIVE,218
Baum Consulting Ingenieur Büro,,Geschäftsführender Inhaber,2017-07,,ACTIVE,218
ECRES Vertriebsgesellschaft mbH (Europäisches Centrum für Regenerative Energiesysteme),,Geschäftsführer,2018-01,2019-03,INACTIVE,218
EBERHARD BAUM & PARTNER CONSULTING LIMITED,https://www.linkedin.com/company/eberhard-baum-&-partner-consulting-limited,Selbstständiger Unternehmer,2004-08,2017-09,INACTIVE,218
"DS Haus und Grund KG, PaxHaus GmbH",,Selbständiger Unternehmer,1998-06,2004-09,INACTIVE,218
STAHLGRUBER GmbH,https://www.linkedin.com/company/lkq-stahlgruber,Produkt- und Key Account Manager Industrie Division,1989-11,1998-05,INACTIVE,218
WSFS Bank,https://www.linkedin.com/company/wsfs-bank,Chief Operating Officer - Consumer Bank | Head of Strategic Planning and Corporate Development,2020-08,2025-01,INACTIVE,219
Evans Bank,https://www.linkedin.com/company/evans-bank,Vice Chair Board Of Directors,2017-04,2020-09,INACTIVE,219
Pearl Meyer (The River Group),,Partner,2013-07,2020-08,INACTIVE,219
KeyBank (First Niagara Bank),,"Executive Vice President, Corporate Development",2010-05,2013-07,INACTIVE,219
Aston Associates,https://www.linkedin.com/company/aston-associates_2,President,1996-04,2010-04,INACTIVE,219
Westsächsische Hochschule Zwickau,,Dekanatsrätin,1986-01,,ACTIVE,220
KIX Service Software GmbH,https://www.linkedin.com/company/kix-service-software,Mitarbeiter Produktmanagement,2023-01,,ACTIVE,221
KIX Service Software GmbH,https://www.linkedin.com/company/kix-service-software,Service Agent,2020-07,2022-12,INACTIVE,221
aetka AG,,Team Manager Area South / Gruppenleiter Region Süd,2019-01,2020-06,INACTIVE,221
mailingwork GmbH,https://www.linkedin.com/company/mailingwork-gmbh,Partner Account Manager,2014-05,2018-12,INACTIVE,221
mailingwork GmbH,https://www.linkedin.com/company/mailingwork-gmbh,Sales Manager,2014-04,2014-04,INACTIVE,221
Vodafone Germany,https://www.linkedin.com/company/vodafone,Filialleiter (Groß-Filialleiter),2006,2014,INACTIVE,221
Vodafone Germany,https://www.linkedin.com/company/vodafone,Stellvertretender Regionalmanager,2012,2013,INACTIVE,221
Vodafone Germany,https://www.linkedin.com/company/vodafone,Verkäufer,1999,2007,INACTIVE,221
Radio- und Fernsehen Fellenberger,,Verkauf und Techniker,1998,1999,INACTIVE,221
KPMG Deutschland,https://www.linkedin.com/company/kpmg-deutschland,Manager | Prokurist | Strategie- und Managementberatung Financial Services,2023-10,,ACTIVE,222
KPMG Deutschland,https://www.linkedin.com/company/kpmg-deutschland,Assistant Manager | Financial Services Strategie- und Managementberatung,2018-09,2023-09,INACTIVE,222
HypoVereinsbank - UniCredit - Deutschland,https://www.linkedin.com/company/hypovereinsbank,Praktikant Corporate Treasury Sales,2017-09,2018-01,INACTIVE,222
Hartz Regehr,https://www.linkedin.com/company/hartz-regehr,Werkstudent Datenmanagement,2016-11,2017-01,INACTIVE,222
Clairfield International GmbH,https://www.linkedin.com/company/clairfieldgermany,"Praktikant Corporate Finance, M&A",2014-08,2015-02,INACTIVE,222
DRK Kreisverband Stuttgart e.V.,https://www.linkedin.com/company/drkstuttgart,Freiwilliges Soziales Jahr Mobile Soziale Dienste,2012-09,2013-02,INACTIVE,222
Fish Corb Films,,Head of Development,2010-03,,ACTIVE,223
University of Malta,,Part Time lecturer in Principles of writing and in Mythology,2006-10,,ACTIVE,223
Drunken Angel Films,,Development director / scriptwriter,2000-01,,ACTIVE,223
OBSS,https://www.linkedin.com/company/obss,Manager,2025-03,,ACTIVE,224
OYAK,https://www.linkedin.com/company/oyak,Software Developer,2022-11,2025-03,INACTIVE,224
Türkiye Petrolleri A.O.,https://www.linkedin.com/company/trpetrolleri,Software Engineer,2019-09,2022-10,INACTIVE,224
Roketsan Roket Sanayii ve Ticaret. A. Ş.,https://www.linkedin.com/company/roketsan,Intern,2018-07,2018-08,INACTIVE,224
ARD GRUP,https://www.linkedin.com/company/ardgrupofficial,Intern,2017-08,2017-08,INACTIVE,224
Alteams Oy,,Chairman of the Board,2024-07,,ACTIVE,225
Jofin Consulting Oy,,Independent Consultant,2024-01,,ACTIVE,225
Scanfil plc,https://www.linkedin.com/company/scanfil-plc,"Advisor, Scanfil",2023-09,2023-12,INACTIVE,225
Scanfil plc,https://www.linkedin.com/company/scanfil-plc,Chief Executive Officer,2013-04,2023-08,INACTIVE,225
Scanfil plc,https://www.linkedin.com/company/scanfil-plc,"Director, Sales and Marketing",2012-01,2013-03,INACTIVE,225
MSK Group Oy,https://www.linkedin.com/company/msk-group-oy,Board Member,2022-04,2023-04,INACTIVE,225
Meka Pro Oy,,Managing Director,2007-08,2011-12,INACTIVE,225
Scanfil Oyj,https://www.linkedin.com/company/scanfil-plc,"Vice President, Sales and Business Development",2003-08,2007-07,INACTIVE,225
Nokia Networks,,Various senior management positions in sales and services,1998-03,2003-07,INACTIVE,225
YIT,https://www.linkedin.com/company/yit,Several management positions,1990-05,1998-02,INACTIVE,225
AL-KO Vehicle Technology Group,https://www.linkedin.com/company/al-ko-vehicle-technology,Stammdatenmanager R&D ENGINEERING / R&D,2024-04,,ACTIVE,226
AL-KO Kober Corp,https://www.linkedin.com/company/al-ko-gardentech,Laserbediener,2000-04,2024-05,INACTIVE,226
Anetech Edelstahltechnik GmbH,https://www.linkedin.com/company/anetech-edelstahltechnik-gmbh,Vorarbeiter,1995-04,2000-03,INACTIVE,226
Binder Gruppe,https://www.linkedin.com/company/bindergruppe,aktiver Gesellschafter,2012-08,,ACTIVE,227
egf Manufaktur,https://www.linkedin.com/company/egf-manufaktur,aktiver Gesellschafter,1996-01,,ACTIVE,227
Binder & Eckart GmbH & Co. KG,,Partner,1999,2016-07,INACTIVE,227
IMM - Binder & Eckart Sanitätsfachhandels GmbH,,Geschäftsführer,1992-01,1995-09,INACTIVE,227
Binder & Eckart GmbH,,Geschäftsführender Gesellschafter,1991-01,1991-12,INACTIVE,227
Bain & Company,https://www.linkedin.com/company/bain-and-company,Consultant,1988-08,1991-01,INACTIVE,227
"Erich Keller AG - Innenausbau, Design + Technik",https://www.linkedin.com/company/erichkeller,Leiter Produktion / Mitinhaber,2021-04,,ACTIVE,228
"Erich Keller AG - Innenausbau, Design + Technik",https://www.linkedin.com/company/erichkeller,Leiter Produktion,1992-01,,ACTIVE,228
Moba St. Gallen,,Werstattleiter und Lehrlingsbetreuer,1990-06,1991-07,INACTIVE,228
Moba St. Gallen,,Arbeitsvorbereiter für Spezialküchen,1988-06,1990-05,INACTIVE,228
Moba St. Gallen,,Bankschreiner und Oberflächenbehandlung,1987-09,1988-05,INACTIVE,228
Seller Ventures,https://www.linkedin.com/company/seller-ventures,Senior Manager,2016-03,,ACTIVE,229
AllAboutOutdoor.com,https://www.linkedin.com/company/allaboutoutdoor.com,Mall Head,2015-02,2016-01,INACTIVE,229
AllAboutOutdoor.com,https://www.linkedin.com/company/allaboutoutdoor.com,Assistant Manager - DLF Gurgaon Malls,2012-12,2014-04,INACTIVE,229
GTL Limited,https://www.linkedin.com/company/gtl-limited,Service Delivery Engineer,2010-06,2011-09,INACTIVE,229
New York Law School,,Mediation Clinic,2024-08,2024-12,INACTIVE,230
"Vorontsov Law Firm, PLLC",,Legal Intern,2024-05,2024-08,INACTIVE,230
Kings County Supreme Court,https://www.linkedin.com/company/kings-county-supreme-court,Judicial Intern,2023-07,2023-08,INACTIVE,230
Metropolitan Transportation Authority,https://www.linkedin.com/company/nymta,Paralegal,2019-06,2019-12,INACTIVE,230
E&M Associates Property Management,,Summer Intern,2015,2018,INACTIVE,230
NYSE,,Head of Information Technology,,,UNKNOWN,231
Benchmark Foam Inc,https://www.linkedin.com/company/benchmark-foam-inc,President,2016-10,,ACTIVE,232
Black Line Capital Inc.,,Vice President Sales & Marketing,2005-06,2024-06,INACTIVE,232
Rust-Oleum Canada,https://www.linkedin.com/company/rustoleumca,Senior Brand Manager,2025-04,,ACTIVE,233
PPG,https://www.linkedin.com/company/ppg,Director of Marketing / Senior Marketing Manager,2013-01,2025-03,INACTIVE,233
AkzoNobel,https://www.linkedin.com/company/akzonobel,Senior Brand Manager,2009-07,2013-01,INACTIVE,233
Audio Products International,https://www.linkedin.com/company/audio-products-international,Global Brand Manager,2004-04,2009-05,INACTIVE,233
Stetron,https://www.linkedin.com/company/stetron-international,Account Development Manager,2002-04,2004-04,INACTIVE,233
Flender,https://www.linkedin.com/company/flenderdrives,Inside Sales Representative,2002-01,2002-04,INACTIVE,233
ODERMARK BEKLEIDUNGSWERKE BRINKMANN,https://www.linkedin.com/company/odermark-bekleidungswerke-brinkmann,Business Trainee,1991-08,1994-04,INACTIVE,233
Winzer,,Weinbautechniker,,,UNKNOWN,234
Lipoid GmbH,,Leiter Instandhaltung,2018-03,,ACTIVE,235
Saint-Gobain,https://www.linkedin.com/company/saint-gobain,Leiter Instandhaltung,2014-08,2018-02,INACTIVE,235
Faber Industrietechnik,,Arbeitsvorbereitung,2012-10,2014-07,INACTIVE,235
Saint-Gobain,https://www.linkedin.com/company/saint-gobain,Maschinenführer und Instandhalter,2006-07,2012-09,INACTIVE,235
Saottini Auto,https://www.linkedin.com/company/saottini-auto,Salesman,2023-06,,ACTIVE,236
Pizzeria “Scala” Ghedi,,Rider,2021-11,2023-06,INACTIVE,236
G.B. Trasporti Funebri,https://www.linkedin.com/company/g.b.-trasporti-funebri,Necrophore,2021-09,2023-06,INACTIVE,236
SS&C Technologies,https://www.linkedin.com/company/ss-c-technologies,Senior Human Resources Manager,2022-01,,ACTIVE,237
Enterprise Integration,https://www.linkedin.com/company/enterprise-integration,Human Resources Business Partner,2019-12,2021-12,INACTIVE,237
Accretive Solutions,https://www.linkedin.com/company/accretive-solutions,"Director, Talent Acquisition/ HR Generalist",2015-02,2019-12,INACTIVE,237
Enterprise Integration,https://www.linkedin.com/company/enterprise-integration,Talent Acquisition Manager,2012-11,2014-12,INACTIVE,237
CEVA Logistics,https://www.linkedin.com/company/ceva-logistics,Director Talent Acquisition,2007,2012,INACTIVE,237
CTG,https://www.linkedin.com/company/ctginc,Senior Regional Human Resources Manager,2006,2007,INACTIVE,237
American Computer Technologies (ACT),https://www.linkedin.com/company/american-computer-technologies-act-,Sr. Recruiter/ Employee Relations Specialist,2003,2006,INACTIVE,237
CTG,https://www.linkedin.com/company/ctginc,Regional Human Resources Generalist,1999,2003,INACTIVE,237
MMS-Werbeagentur,https://www.linkedin.com/company/mms-werbeagentur,Geschäftsführer,2016,2016,INACTIVE,238
Sparkasse Schaumburg,https://www.linkedin.com/company/sparkasse-schaumburg,Bankkaufmann,,,UNKNOWN,239
Sparkasse Schaumburg,https://www.linkedin.com/company/sparkasse-schaumburg,Direktor,2015-08,,ACTIVE,239
KatKin,https://www.linkedin.com/company/katkin,Influencer Marketing Executive,2025-05,,ACTIVE,240
altwater,https://www.linkedin.com/company/altwater,Marketing Executive,2023-08,2025-04,INACTIVE,240
Star Seed,https://www.linkedin.com/company/starseednatural,"Brand, Marketing, PR & Communications Intern",2023-07,2023-08,INACTIVE,240
InsideUni,https://www.linkedin.com/company/insideuni,Head Of Content,2022-07,2023-06,INACTIVE,240
TEDxOxford,https://www.linkedin.com/company/tedxoxford,Head Of Marketing,2022-05,2023-05,INACTIVE,240
Medloop Ltd.,https://www.linkedin.com/company/medloopltd,Sales And Marketing Intern,2023-03,2023-04,INACTIVE,240
OXFORD MOLECULAR MEDICINE ACADEMY LIMITED,https://www.linkedin.com/company/oxford-molecular-medicine-academy-limited,Summer Marketing Development Strategy Intern,2022-06,2022-07,INACTIVE,240
Oxford University Japan Society,https://www.linkedin.com/company/oujs,Secretary,2021-04,2022-06,INACTIVE,240
OXFORD MOLECULAR MEDICINE ACADEMY LIMITED,https://www.linkedin.com/company/oxford-molecular-medicine-academy-limited,Spring Marketing Development Strategy Intern,2022-03,2022-03,INACTIVE,240
The Oxford Blue,https://www.linkedin.com/company/the-oxford-blue-newspaper,Digital Strategist,2022-01,2022-03,INACTIVE,240
"Cherwell Newspaper, University of Oxford",https://www.linkedin.com/company/cherwell-newspaper-university-of-oxford,Social Media Officer,2021-04,2021-12,INACTIVE,240
Wan Da Takeaway,,Counter Assistant,2017-03,2021-09,INACTIVE,240
MSE,https://www.linkedin.com/company/msemedia,Content Creator,2018-09,2019-08,INACTIVE,240
Mizuho,https://www.linkedin.com/company/mizuho,Assistant in Global Transactions Department,2018-06,2018-06,INACTIVE,240
Orthosteo Praxis,https://www.linkedin.com/company/orthosteo-praxis,Unternehmensinhaber,2022-10,,ACTIVE,241
Epi-Zentrum Hamburg,,Physiotherapist,2020-07,2022-10,INACTIVE,241
FC St. Pauli von 1910 e.V.,https://www.linkedin.com/company/fc-st-pauli,Physical therapist rehabilitation,2017-08,2020-07,INACTIVE,241
Enschedese Hockey Vereniging,,Physical Therapist,2016-06,2017-08,INACTIVE,241
