organization,position,startDate,endDate,status,department,seniority,person_id,job_count,job_duration_years
Parmalux,Salesmanager,2007-05,2010-10,INACTIVE,Sales,Professional,275,7,3.421917808219178
Bional International BV,Salesmanager,1995-01,2007-01,INACTIVE,Sales,Professional,275,7,12.008219178082191
Fair Faced Models,Freelancer,1995-01,1998-01,INACTIVE,Other,Professional,275,7,3.0027397260273974
Holland Sales Services,Freelancer,1994-01,1996-01,INACTIVE,Other,Professional,275,7,2.0
Werkzaam in Kinderbescherming en Jeugdhulpverlening regio Den Haag,Jeugdhulpverlening,1987-01,1994-01,INACTIVE,Other,Professional,275,7,7.005479452054795
OpenValue,Director OpenValue Amsterdam,2020-11,2025-12,ACTIVE,Other,Director,276,9,5.0849315068493155
Code Nomads,Director Code Nomads Amsterdam,2023-08,2025-12,ACTIVE,Information Technology,Director,276,9,2.336986301369863
Politie Nederland,Senior software developer,2019-12,2021-09,INACTIVE,Information Technology,Senior,276,9,1.7534246575342465
JPoint,Software Craftsman,2014-03,2021-09,INACTIVE,Information Technology,Professional,276,9,7.50958904109589
Rabobank,Solution Architect,2017-09,2019-12,INACTIVE,Information Technology,Professional,276,9,2.249315068493151
Rabobank,Developer,2014-03,2017-09,INACTIVE,Information Technology,Professional,276,9,3.506849315068493
Karate-Do Bond Nederland,Bestuurslid,2013-12,2014-12,INACTIVE,Other,Management,276,9,1.0
Coöperatieve vereniging OpenGeoGroep,Developer,2008-01,2014-02,INACTIVE,Information Technology,Professional,276,9,6.090410958904109
B3partners,Software Engineer,2006-01,2014-02,INACTIVE,Information Technology,Professional,276,9,8.09041095890411
FedEx,Senior Customer Care Representative,2024-10,2025-12,ACTIVE,Customer Support,Senior,277,3,1.167123287671233
FedEx,Customer Care Representative,2021-03,2024-11,INACTIVE,Customer Support,Professional,277,3,3.673972602739726
Tyczka Energy GmbH,Kaufmann für Büromanagement,2016-08,2019-07,INACTIVE,Administrative,Professional,277,3,2.915068493150685
koch,Koch,2023-01,2025-12,ACTIVE,Other,Professional,278,1,2.9178082191780823
VORWERK ELEKTROWERKE GMBH & CO.KG,CTO,2024-01,2025-12,ACTIVE,Information Technology,Management,279,5,1.917808219178082
Vorwerk Gruppe,Senior Vice President and Head of Technology,2021-09,2024-01,INACTIVE,Information Technology,Management,279,5,2.334246575342466
Vorwerk Elektrowerke GmbH & Co KG,Senior Vice President Quality Management,2017-07,2021-09,INACTIVE,Other,Management,279,5,4.1726027397260275
Neato Robotics,Vice President,2015-02,2017-06,INACTIVE,Other,Management,279,5,2.3315068493150686
Vorwerk Gruppe,Senior Project Manager,2009-09,2015-01,INACTIVE,Project Management,Senior,279,5,5.336986301369863
BMW Group,Group Design Strategy & -targets,2018-01,2025-12,ACTIVE,Other,Professional,280,5,7.920547945205479
BMW Group,Corpotate Product Strategy,2014-01,2017-12,INACTIVE,Consulting,Professional,280,5,3.9178082191780823
BMW Group,Strategy and Cooperations BMW Motorrad,2009-01,2014-01,INACTIVE,Business Development,Professional,280,5,5.002739726027397
BMW Group,Business Development,2005-06,2008-12,INACTIVE,Business Development,Professional,280,5,3.504109589041096
BMW Group,Sales & Marketing,2001-03,2005-01,INACTIVE,Other,Professional,280,5,3.841095890410959
vsonix GmbH,CEO,2012-01,2025-12,ACTIVE,Other,Management,281,9,13.926027397260274
vsonix GmbH,General Manager Video Solutions,2007-04,2011-12,INACTIVE,Other,Management,281,9,4.671232876712328
vsonix GmbH,Founder,2007-01,2010-01,INACTIVE,Other,Management,281,9,3.0027397260273974
NEM (Networked Electronic Media) Technology Platform,Steering Board Member,2009-09,2017-04,INACTIVE,Other,Management,281,9,7.586301369863014
Fraunhofer IGD,Head of Realtime Vision components and applications,2012-01,2012-12,INACTIVE,Information Technology,Lead,281,9,0.9178082191780822
Fraunhofer IGD,"Head of Research Group ""Digital Media""",2007-01,2012-01,INACTIVE,Marketing,Lead,281,9,5.002739726027397
Fraunhofer IGD,"Deputy Director ""Cognitive Computing and Medical Imaging""",2005-04,2011-12,INACTIVE,Other,Director,281,9,6.671232876712328
GUIDE - Gentle User Interfaces for Disabled and Elderly people,EU Project Coordinator,2010-02,2012-02,INACTIVE,Project Management,Lead,281,9,2.0
ZGDV,Researcher,2001-07,2005-07,INACTIVE,Other,Professional,281,9,4.002739726027397
CPS Anwendungsberatung für die Wellpappenindustrie,Managing Director,2006-04,2025-12,ACTIVE,Other,Management,282,2,19.682191780821917
Amcor,Plant Production Manager,1994-01,1998-12,INACTIVE,Other,Professional,282,2,4.917808219178082
KPMG Austria,Assistant Manager,2025-01,2025-12,ACTIVE,Other,Lead,283,12,0.915068493150685
KPMG Austria,Senior Audit Associate,2023-01,2025-12,ACTIVE,Other,Senior,283,12,2.9178082191780823
KPMG Austria,Audit Associate,2020-09,2022-12,INACTIVE,Other,Junior,283,12,2.249315068493151
Wimmer Medien,Promotions Team,2018-12,2020-08,INACTIVE,Marketing,Professional,283,12,1.6684931506849314
Raiffeisenbanken Service GmbH,Angestellter,2017-12,2020-08,INACTIVE,Other,Professional,283,12,2.6684931506849314
Raiffeisenlandesbank Oberösterreich AG,Promotions Team,2016-07,2020-08,INACTIVE,Marketing,Professional,283,12,4.087671232876712
Raiffeisenlandesbank Oberösterreich AG,Ferialpraktikant,2017-07,2017-08,INACTIVE,Other,Junior,283,12,0.08493150684931507
Schoißwohl Baugesellschaft mbH,Ferialpraktikant,2015-05,2015-06,INACTIVE,Other,Junior,283,12,0.08493150684931507
MOORE STEPHENS SCHWARZ KALLINGER ZWETTLER Wirtschaftsprüfung,Ferialpraktikant,2013-08,2013-08,INACTIVE,Other,Junior,283,12,0.0
Synthesa Chemie,Ferialpraktikant,2013-07,2013-07,INACTIVE,Other,Junior,283,12,0.0
Schwarz Kam,Praktikant,2013-03,2013-03,INACTIVE,Other,Junior,283,12,0.0
Synthesa Chemie,Ferialpraktikant,2012-08,2012-08,INACTIVE,Other,Junior,283,12,0.0
Hot Soles,Operations Director,2023-01,2025-12,ACTIVE,Other,Director,284,1,2.9178082191780823
Enercon Logistic Gmbh,Technische Assistenz,2023-01,2025-12,ACTIVE,Administrative,Junior,285,1,2.9178082191780823
SCALES Group A/S,Lead consultant,2025-01,2025-12,ACTIVE,Consulting,Lead,286,5,0.915068493150685
SCALES Group A/S,Senior Consultant,2024-07,2025-01,INACTIVE,Consulting,Senior,286,5,0.5041095890410959
SCALES Group A/S,Consultant,2023-07,2024-07,INACTIVE,Consulting,Professional,286,5,1.0027397260273974
SCALES Group A/S,Associate Consultant,2023-03,2023-07,INACTIVE,Consulting,Junior,286,5,0.33424657534246577
SCALES Group A/S,Graduate Consultant,2022-09,2023-03,INACTIVE,Consulting,Junior,286,5,0.4958904109589041
123BAG GmbH,Geschäftsführender Gesellschafter,2019-11,2025-12,ACTIVE,Other,Management,287,4,6.087671232876712
Alexander Böhler,Werteorientiertes Führungskräftetraining,2016-01,2025-12,ACTIVE,Consulting,Professional,287,4,9.923287671232877
Flatz GmbH,Leiter Personalentwicklung,2018-01,2019-04,INACTIVE,Human Resources,Lead,287,4,1.2465753424657535
Flatz GmbH,Leitung ESD,1992-09,2017-12,INACTIVE,Other,Lead,287,4,25.265753424657536
JACOB Group,Head of IT Services & Operations Management,2021-04,2025-12,ACTIVE,Information Technology,Lead,288,3,4.671232876712328
BLUE Consult GmbH,Senior Consultant Infrastruktur Architekt / SAP Infrastruktur,2015-10,2021-03,INACTIVE,Consulting,Senior,288,3,5.419178082191781
Bechtle IT-Systemhaus Bielefeld,IT Consultant Datacenter - Microsoft Technologie Spezialist,2012-03,2015-09,INACTIVE,Consulting,Professional,288,3,3.504109589041096
hGears,Teamleader IT Operations Management,2024-01,2025-12,ACTIVE,Information Technology,Lead,289,6,1.917808219178082
hGears,Systemadministrator,2014-02,2024-01,INACTIVE,Information Technology,Professional,289,6,9.92054794520548
Acony Games,Gamedesigner,2009-04,2013-04,INACTIVE,Information Technology,Professional,289,6,4.002739726027397
Acony Games,IT-Administration,2007-09,2009-03,INACTIVE,Information Technology,Professional,289,6,1.4986301369863013
Acony Games,Quality Assurance,2006-12,2007-09,INACTIVE,Information Technology,Professional,289,6,0.7506849315068493
Quicksoft Computer,IT Support,2004-10,2006-12,INACTIVE,Information Technology,Professional,289,6,2.1671232876712327
N+S Bürocenter,Vertrieb,1997-02,2025-12,ACTIVE,Sales,Professional,290,1,28.84931506849315
Siemens,Technischer Experte für Stellwerkstechnik,2020-01,2025-12,ACTIVE,Information Technology,Senior,291,3,5.920547945205479
DB Engineering & Consulting,Technischer Sachbearbeiter / Prüfassistent,2016-01,2019-12,INACTIVE,Administrative,Professional,291,3,3.9178082191780823
Siemens,Fachmonteur für Gefahrenmeldeanlagen,2014-02,2015-12,INACTIVE,Other,Professional,291,3,1.83013698630137
HvS-Consulting AG,HR-Manager,2019-01,2025-12,ACTIVE,Human Resources,Professional,292,1,6.920547945205479
Zahnarztpraxis Dr. Philipp Jost,Geschäftsführer,2023-01,2025-12,ACTIVE,Other,Management,293,1,2.9178082191780823
TAV Operation Services,Operation Supervisor,2024-08,2025-12,ACTIVE,Other,Lead,294,4,1.3342465753424657
TAV Operation Services,CIP Agent,2021-06,2024-08,INACTIVE,Other,Professional,294,4,3.16986301369863
Clinic Mono,Aftersales Manager,2020-09,2021-05,INACTIVE,Sales,Professional,294,4,0.663013698630137
Hilton,Bellperson,2019-06,2019-08,INACTIVE,Other,Professional,294,4,0.16712328767123288
Mauell GmbH,Leiter Rechnungswesen und Finanzen,2023-01,2025-12,ACTIVE,Other,Lead,295,1,2.9178082191780823
MorgenFund,Geschäftsführer,2024-05,2025-12,ACTIVE,Other,Management,296,7,1.5863013698630137
MorgenFund,Head of Technology,2024-03,2024-05,INACTIVE,Information Technology,Lead,296,7,0.16712328767123288
MorgenFund,IT Governance & Resource Manager,2024-01,2024-03,INACTIVE,Information Technology,Professional,296,7,0.1643835616438356
DIAMOS AG,"COO, FNZ Deutschland Technologie GmbH",2015-04,2023-12,INACTIVE,Other,Management,296,7,8.673972602739726
Derenik Grigorian Consulting,Management Consultant,2014-07,2015-03,INACTIVE,Consulting,Management,296,7,0.6657534246575343
ODDO BHF,MD,1998-03,2014-06,INACTIVE,Other,Professional,296,7,16.263013698630136
BNY Mellon Service Kapitalanlage Gesellschaft mbH,Chief Operating Officer,2007-06,2009-05,INACTIVE,Other,Management,296,7,1.917808219178082
Bosch,Konstrukteur,2024-02,2025-12,ACTIVE,Other,Professional,297,5,1.832876712328767
Bosch,Konstrukteur,2018-06,2024-01,INACTIVE,Other,Professional,297,5,5.589041095890411
Bosch,Konstrukteur,2008-02,2018-05,INACTIVE,Other,Professional,297,5,10.252054794520548
Bosch,Mechatroniker,2003-02,2008-01,INACTIVE,Other,Professional,297,5,4.917808219178082
Bosch,Mechatroniker,1999-09,2003-01,INACTIVE,Other,Professional,297,5,3.336986301369863
Daimler Buses GmbH,Projektleiter in der Engineering IT,2022-10,2025-12,ACTIVE,Information Technology,Lead,298,2,3.16986301369863
Daimler Buses GmbH,Dualer Student Digital Business Management,2019-09,2022-10,INACTIVE,Marketing,Junior,298,2,3.084931506849315
Evidentia bv,Sales & Marketing Management,2010-01,2025-12,ACTIVE,Other,Professional,299,6,15.926027397260274
Jaguar Land Rover Belux,Retail Marketing Management,2018-01,2025-12,ACTIVE,Marketing,Professional,299,6,7.920547945205479
A major automotive group,Group Marketing Management Project,2018-01,2019-01,INACTIVE,Other,Professional,299,6,1.0
Propulsion Systems - House of Duratech,Sales & Marketing Manager,2016-01,2017-01,INACTIVE,Other,Professional,299,6,1.0027397260273974
Green Force - manufacturer - Modular lighting systems for rec & pro applications,Sales & Marketing Director,2009-01,2014-01,INACTIVE,Other,Director,299,6,5.002739726027397
Green Force - manufacturer - Modular lighting systems for rec & pro applications,Sales Manager,2002-01,2008-01,INACTIVE,Sales,Professional,299,6,6.002739726027397
Weber Bürstensysteme GmbH,Außendienstspezialist,2023-01,2025-12,ACTIVE,Sales,Professional,300,1,2.9178082191780823
blueReport (cognita AG),Ruby Fullstack Developer,2022-10,2025-12,ACTIVE,Information Technology,Professional,301,7,3.16986301369863
CARL,Head of Engineering,2021-09,2022-10,INACTIVE,Information Technology,Lead,301,7,1.082191780821918
CARL,Lead Developer,2019-01,2021-08,INACTIVE,Information Technology,Lead,301,7,2.5835616438356164
unemployed,Sabbatical; Parenting my newborn (Elternzeit),2018-11,2018-12,INACTIVE,Other,Professional,301,7,0.0821917808219178
plusforta GmbH,CTO,2012-04,2018-10,INACTIVE,Information Technology,Management,301,7,6.504109589041096
w2on,Software-Entwickler,2011-01,2011-12,INACTIVE,Information Technology,Professional,301,7,0.915068493150685
Universität Leipzig - Lehrstuhl für Betriebliche Informationssysteme (BIS),undergrad. student labour,2007-08,2010-09,INACTIVE,Other,Junior,301,7,3.0876712328767124
Fischer-Plastik GesmbH,CEO,1990-04,2025-12,ACTIVE,Other,Management,302,1,35.69315068493151
EQUANS France,Chef de projet senior,2021-07,2025-12,ACTIVE,Project Management,Senior,303,7,4.421917808219178
ENGIE Axima Clean et Process Solutions,Responsable Projets HVAC Clean et Process Solutions,2016-08,2021-06,INACTIVE,Project Management,Lead,303,7,4.835616438356165
BILLON SAS,Chargé d'affaires CVC,2007-01,2016-07,INACTIVE,Sales,Professional,303,7,9.504109589041096
FITEC Energy,Développeur,2005-09,2006-02,INACTIVE,Information Technology,Professional,303,7,0.4191780821917808
SPIE,Responsable d’affaires,2002-09,2005-07,INACTIVE,Sales,Lead,303,7,2.8328767123287673
TECHNOLAIR SERVICES,Chargé d’affaires CVC,2000-01,2002-08,INACTIVE,Sales,Professional,303,7,2.5835616438356164
AXIMA CONTRACTING,Technicien d'études puis Chargé d’affaires CVC,1995-01,2000-01,INACTIVE,Other,Professional,303,7,5.002739726027397
Eckerle Holding GmbH & Co. KG,Kaufmännischer Leiter,2023-01,2025-12,ACTIVE,Administrative,Lead,304,1,2.9178082191780823
Adform,Country Manager Czech Republic and Slovakia,2020-03,2025-12,ACTIVE,Other,Lead,305,13,5.756164383561644
Adform,Executive Director at Adform s.r.o.,2018-11,2025-12,ACTIVE,Other,Director,305,13,7.087671232876712
Adform,"Commercial Director Czech Republic, Slovakia and the Balkans",2017-05,2020-02,INACTIVE,Sales,Director,305,13,2.756164383561644
Adform,"Business Development Director CZ, SK, SI, CR, SRB, BIH, MNE",2013-12,2017-04,INACTIVE,Business Development,Director,305,13,3.334246575342466
Economia,Head of Online Sales,2012-02,2013-11,INACTIVE,Sales,Lead,305,13,1.7506849315068493
"ARBOinteractive, spol. s r.o.",Sales & Marketing Director,2010-09,2011-10,INACTIVE,Other,Director,305,13,1.082191780821918
"GLOBAL INSPIRATION, s.r.o. (Stream.cz)",Sales Director,2009-06,2010-06,INACTIVE,Sales,Director,305,13,1.0
ARBOmedia,Sales Director,2008-02,2009-02,INACTIVE,Sales,Director,305,13,1.0027397260273974
ARBOmedia,Head Of TV Sales,2006-01,2008-01,INACTIVE,Sales,Lead,305,13,2.0
ARBOmedia,TV Front Office,2003-03,2005-12,INACTIVE,Other,Professional,305,13,2.756164383561644
Petrská reklamní a mediální s.r.o.,Account Manager,1998-11,2003-03,INACTIVE,Sales,Professional,305,13,4.331506849315068
Mediatel s.r.o.,Marketing assistant,1996-06,1998-10,INACTIVE,Marketing,Junior,305,13,2.334246575342466
Mediatel s.r.o.,Sales manager,1994-08,1996-05,INACTIVE,Sales,Professional,305,13,1.7506849315068493
Selbstständig,Unternehmensinhaber,2023-01,2025-12,ACTIVE,Other,Management,306,1,2.9178082191780823
Yatego GmbH,Geschäftsführer,2017-01,2025-12,ACTIVE,Other,Management,307,4,8.92054794520548
Yatego GmbH,Head of Account Management,2013-04,2025-12,ACTIVE,Sales,Lead,307,4,12.676712328767124
Yatego GmbH,Teamlead Tech-Support,2009-01,2013-04,INACTIVE,Customer Support,Lead,307,4,4.249315068493151
Yatego GmbH,Support Agent,2006-06,2009-01,INACTIVE,Customer Support,Professional,307,4,2.589041095890411
AYRES Composite Panels,Group CEO,2018-07,2025-12,ACTIVE,Other,Management,308,8,7.424657534246576
AYRES Composite Panels,CEO,2016-04,2018-06,INACTIVE,Other,Management,308,8,2.1671232876712327
AYRES Composite Panels,Head of International Sales & Marketing,2012-07,2016-03,INACTIVE,Sales,Lead,308,8,3.6684931506849314
At home,Sabbatical,2011-09,2012-06,INACTIVE,Other,Professional,308,8,0.7506849315068493
3A Composites (formerly Alcan Composites | RioTinto Alcan),Director Business Development & Strategy EMEA | Brazil | Australia,2008-08,2011-08,INACTIVE,Business Development,Director,308,8,3.0
Saint-Gobain Rigips Austria,Sales Controller Austria | CEE & Strategic Project Manager,2006-05,2008-07,INACTIVE,Project Management,Professional,308,8,2.16986301369863
Australia Experience,International Experience,2005-01,2006-02,INACTIVE,Other,Professional,308,8,1.084931506849315
Sto AG,Sales Controller International,2002-10,2004-12,INACTIVE,Sales,Professional,308,8,2.16986301369863
petrichor GmbH,Associate Consultant,2024-10,2024-12,INACTIVE,Consulting,Junior,309,2,0.16712328767123288
1. Zentrum für Traditionelle Europäische Medizin in Bad Kreuzen,"Stellv. Betriebsleiter, Therapieleiter und FOL",2008-03,2024-03,INACTIVE,Other,Lead,309,2,16.01095890410959
Thames Valley Children's Centre,"Director, Finance and Information Technology",2018-01,2025-12,ACTIVE,Other,Director,310,4,7.920547945205479
"Tillsonburg District Memorial Hospital | Alexandra Hospital, Ingersoll",Vice President & Chief Financial Officer,2004-01,2018-01,INACTIVE,Other,Management,310,4,14.01095890410959
Tillsonburg District Memorial Hospital,Financial Officer,1998-01,2004-01,INACTIVE,Other,Professional,310,4,6.002739726027397
Johnson Controls,Plant Controller | Cost Accountant,1992-01,1998-01,INACTIVE,Other,Professional,310,4,6.005479452054795
Abschleppdienst Potsdam Nord Süd gmbh,Bergungsleiter,2004-04,2025-12,ACTIVE,Other,Lead,311,1,21.682191780821917
Porsche,Versuchsträgerverantwortlicher,2023-01,2025-12,ACTIVE,Other,Professional,312,1,2.9178082191780823
Yorizon Cloud,Co-CEO,2024-06,2025-12,ACTIVE,Other,Management,313,6,1.5013698630136987
SCHWEINAR CONSULTING,Founder,2017-12,2025-12,ACTIVE,Other,Management,313,6,8.005479452054795
Dorsch Gruppe,Managing Director,2018-02,2024-05,INACTIVE,Other,Management,313,6,6.249315068493151
DB Engineering & Consulting GmbH,CFO,2012-11,2018-01,INACTIVE,Other,Management,313,6,5.16986301369863
HOCHTIEF Concessions AG,Executive Director,2003-05,2012-10,INACTIVE,Other,Management,313,6,9.427397260273972
Viterra Baupartner AG,Director Finance,1993-10,2003-04,INACTIVE,Other,Director,313,6,9.504109589041096
Airbus,Aircraft Physical Security Expert,2006-10,2025-12,ACTIVE,Other,Senior,314,5,19.18082191780822
Airbus Defense and Space,Ariane 5 Attitute Control System (SCA) development Leader,2004-06,2006-10,INACTIVE,Information Technology,Lead,314,5,2.334246575342466
Airbus Defense & Space,Procurement Engineer on ESA/ATV space program,2003-01,2004-06,INACTIVE,Purchasing,Professional,314,5,1.4164383561643836
Thales,Test Engineer (Mechanic & Thermic),2002-06,2003-01,INACTIVE,Information Technology,Professional,314,5,0.5863013698630137
ALCATEL SPACE / THALES,Satellite payload Development and Industrialisation Engineer,2000-12,2002-06,INACTIVE,Information Technology,Professional,314,5,1.4986301369863013
Nokia,Director Maintenance Service Management national and international,2009-01,2016-11,INACTIVE,Other,Director,315,1,7.838356164383562
BASF,General Manager,1994-10,2025-12,ACTIVE,Other,Management,316,2,31.18904109589041
Elastogran,Marketing-Controller,1994-10,1997-06,INACTIVE,Marketing,Professional,316,2,2.6684931506849314
Dentalteam Zahntechnik GmbH,Zahntechniker,2023-01,2025-12,ACTIVE,Other,Professional,317,1,2.9178082191780823
FNZ Bank SE,Head of Regulatory Projects,2023-09,2025-12,ACTIVE,Consulting,Lead,318,4,2.252054794520548
Konnektiv Consulting,Founder and owner,2013-10,2023-08,INACTIVE,Other,Management,318,4,9.838356164383562
LHI Leasing GmbH,"Director IT, Organisation, Strategic Corporate Development",2004-02,2013-09,INACTIVE,Information Technology,Director,318,4,9.58904109589041
Accenture,Management Consultant,1990-11,2003-12,INACTIVE,Consulting,Professional,318,4,13.09041095890411
GBOH Technology,Owner,2021-07,2025-12,ACTIVE,Other,Management,319,1,4.421917808219178
Syrena Real Estate,Financial Analyst,2024-10,2025-12,ACTIVE,Other,Professional,320,5,1.167123287671233
Merck Group,Junior HR Services & Resolution specialist with French,2024-05,2024-09,INACTIVE,Human Resources,Junior,320,5,0.336986301369863
Allter Power Sp. z o.o.,Intern,2023-09,2023-12,INACTIVE,Other,Junior,320,5,0.2493150684931507
Akademia Surfingu & Deskorolki,Instruktor surfingu,2023-06,2023-08,INACTIVE,Other,Professional,320,5,0.16712328767123288
Akademia Surfingu & Deskorolki,Instruktor surfingu,2022-06,2022-08,INACTIVE,Other,Professional,320,5,0.16712328767123288
Tandem 50,Mentor,2017-07,2025-12,ACTIVE,Other,Senior,321,16,8.424657534246576
.,Started into the Golden Years and have unlimited time for enjoy my life.,2018-10,2022-12,INACTIVE,Other,Professional,321,16,4.16986301369863
Consulting GT Engineering and Project Management,Owner,2016-10,2020-10,INACTIVE,Other,Management,321,16,4.002739726027397
Pumilia AG,General Manager Pumilia Turbine Services & Project Management,2015-12,2016-09,INACTIVE,Project Management,Management,321,16,0.7534246575342466
Pumilia AG,Overall Construction Manager Turbines OCM Turbines,2015-10,2015-11,INACTIVE,Other,Professional,321,16,0.08493150684931507
Alstom Power,Technical Service Manager,2015-01,2015-09,INACTIVE,Customer Support,Professional,321,16,0.6657534246575343
ALGEC GT Services,Head of Project Management & Engineering Department,2014-01,2014-12,INACTIVE,Project Management,Lead,321,16,0.915068493150685
Alstom (Switzerland) Ltd,Sr.Project Manager,2000-04,2013-12,INACTIVE,Project Management,Senior,321,16,13.676712328767124
ABB,GT Service Engineer for Thermal Block and Auxiliary,1993-06,2000-03,INACTIVE,Information Technology,Professional,321,16,6.7534246575342465
ABB,GT Service Engineer for Thermal Block & Auxiliary,1992-05,1993-05,INACTIVE,Information Technology,Professional,321,16,1.0
ABB,GT Service Engineer,1989-10,1992-04,INACTIVE,Information Technology,Professional,321,16,2.5013698630136987
ABB,GT Service Engineer,1989-04,1989-09,INACTIVE,Information Technology,Professional,321,16,0.4191780821917808
Brown Boveri & Cie,Service Engineer for GT Blading,1984-04,1989-03,INACTIVE,Information Technology,Professional,321,16,4.917808219178082
Brown Boveri & Cie,Engineer for GT and Compressor Blading,1981-04,1984-03,INACTIVE,Information Technology,Professional,321,16,2.9178082191780823
Brown Boveri Turbomachinery Inc.,Engineer for GT-Blading,1978-09,1981-03,INACTIVE,Information Technology,Professional,321,16,2.4986301369863013
Brown Boveri Sulzer AG Winterthur,Engineer for Air Cooled GT Blading,1975-04,1978-08,INACTIVE,Other,Professional,321,16,3.336986301369863
Interstarch,Vertriebsingenieur,2024-10,2025-12,ACTIVE,Sales,Professional,322,8,1.167123287671233
Winback GmbH,Beratung/Vertrieb WinBack GmbH,2023-05,2024-10,INACTIVE,Consulting,Professional,322,8,1.4219178082191781
Bäckerei Voigt,Geschäftsführer Bäckerei Voigt,2022-09,2023-05,INACTIVE,Other,Management,322,8,0.663013698630137
WinBack GmbH,"Anwendungsberatung und Vertrieb, Vertriebsbüro Ost, WinBack GmbH",2021-11,2022-09,INACTIVE,Sales,Professional,322,8,0.8328767123287671
Meister Bäcker GmbH,Gesamtproduktionsleiter,2019-08,2021-09,INACTIVE,Other,Lead,322,8,2.0876712328767124
Handelsvertretung Roman Weiß,Inhaber,2010-08,2016-03,INACTIVE,Other,Management,322,8,5.586301369863014
Backerhaus Veit,Production Supervisor,2006-12,2007-07,INACTIVE,Other,Lead,322,8,0.5808219178082191
"Artisan bakke Shoppe, Vancouver",Prodution Manager,2000-09,2002-12,INACTIVE,Administrative,Professional,322,8,2.249315068493151
Westfälisches Energieinstitut,Professor im Ruhestand,2023-03,2025-12,ACTIVE,Other,Professional,323,13,2.756164383561644
Westfälisches Energieinstitut,Vorstandsmitglied,2001-12,2025-12,ACTIVE,Other,Management,323,13,24.016438356164382
Westfälische Hochschule,Professor,1996-05,2023-02,INACTIVE,Other,Professional,323,13,26.77260273972603
Westfälische Hochschule,Leiter des Labors für Hochspannungs- und Hochleistungspulstechnik,1996-05,2023-02,INACTIVE,Other,Lead,323,13,26.77260273972603
Westfälische Hochschule,Studiengangsprecher des Masterstudiengangs Energiesystemtechnik,2004-04,2008-02,INACTIVE,Other,Lead,323,13,3.8383561643835615
ProPuls GmbH,Vorstandsmitglied,1998-06,2009-06,INACTIVE,Other,Management,323,13,11.008219178082191
Qumon,Freier Mitarbeiter,2007-11,2008-12,INACTIVE,Consulting,Professional,323,13,1.084931506849315
International Society on Pulsed Power Applications,Vorsitzender,1997-07,2008-07,INACTIVE,Other,Management,323,13,11.008219178082191
Product Creation Services GbR,Freier Mitarbeiter,1998-03,2000-03,INACTIVE,Consulting,Professional,323,13,2.0027397260273974
TZN Forschungs- und Entwicklungszentrum Unterlüß GmbH/Rheinmetallforschung GmbH,Stellvertretender Leiter der Abteilung Hochleistungspulstechnik,1994-11,1996-04,INACTIVE,Other,Lead,323,13,1.4164383561643836
TZN Forschungs- und Entwicklungszentrum Unterlüß GmbH/Rheinmetallforschung GmbH,Fachgebietsleiter Hochenergiesysteme,1988-05,1994-10,INACTIVE,Other,Lead,323,13,6.421917808219178
TZN Forschungs- und Entwicklungszentrum Unterlüß GmbH/Rheinmetallforschung GmbH,Wissenschaftlicher Angestellter,1987-04,1988-03,INACTIVE,Other,Professional,323,13,0.9178082191780822
"TU Braunschweig, Institut für Hochspannungstechnik",Wissenschaftlicher Mitarbeiter,1983-04,1987-03,INACTIVE,Other,Professional,323,13,3.9178082191780823
Grub Brugger & Partner Rechtsanwälte,Rechtsanwalt,2023-01,2025-12,ACTIVE,Other,Professional,324,1,2.9178082191780823
Liebherr Group,Vedoucí pobočky Popůvky,2024-01,2025-12,ACTIVE,Administrative,Lead,325,4,1.917808219178082
Liebherr Group,Vedoucí logistiky zemních strojů,2021-01,2023-12,INACTIVE,Other,Lead,325,4,2.915068493150685
Liebherr Group,Disponent věžových jeřábů,2019-08,2020-12,INACTIVE,Other,Professional,325,4,1.336986301369863
CLAAS,Stážista,2019-03,2019-07,INACTIVE,Other,Junior,325,4,0.33424657534246577
Strukton,Lead engineer/ groepscoordinator,1999-01,2025-12,ACTIVE,Information Technology,Lead,326,1,26.934246575342467
Raff Sanitär GmbH,Geschäftsfüherer,1994-01,2025-12,ACTIVE,Other,Management,327,1,31.936986301369863
Landeshauptstadt Mainz,"Dezernat für Wirtschaft, Stadtentwicklung, Liegenschaften und Ordnungswesen - Büroleitung/Referent",2019-02,2025-12,ACTIVE,Other,Lead,328,7,6.835616438356165
CDU-Stadtratsfraktion Mainz,Fraktionsgeschäftsführer,2009-09,2019-02,INACTIVE,Other,Management,328,7,9.424657534246576
Kirchenbote - Wochenzeitung des Bistums Osnabrück,Freier Mitarbeiter (Journalismus),2007-04,2009-08,INACTIVE,Other,Professional,328,7,2.336986301369863
Ems-Zeitung /Neue Osnabrücker Zeitung,Freier Mitarbeiter (Journalismus),2006-09,2009-08,INACTIVE,Other,Professional,328,7,2.9178082191780823
Büro der CDU-Bundestagsabgeordneten Gitta Connemann,Studentischer Mitarbeiter,2006-10,2007-03,INACTIVE,Other,Junior,328,7,0.4136986301369863
Büro der CDU-Bundestagsabgeordneten Gitta Connemann,Praktikant,2006-02,2006-04,INACTIVE,Other,Junior,328,7,0.16164383561643836
Deutsches Generalkonsulat,Praktikant,2003-07,2003-10,INACTIVE,Other,Junior,328,7,0.25205479452054796
